age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
23,Never-worked,254292,10th,6,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,36298,2576,30,Jamaica,<=50K
74,Federal-gov,87640,Preschool,12,Married-spouse-absent,Machine-op-inspct,Husband,Other,Male,57935,994,8,Germany,<=50K
65,Without-pay,620175,Some-college,12,Married-civ-spouse,Tech-support,Own-child,Black,Male,38746,4,2,Dominican-Republic,<=50K
49,Self-emp-inc,1301378,Preschool,14,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,7334,1192,7,Mexico,<=50K
49,Self-emp-inc,463919,1st-4th,4,Married-AF-spouse,Farming-fishing,Own-child,Asian-Pac-Islander,Female,69828,3207,36,South,<=50K
80,Without-pay,365880,Prof-school,15,Never-married,Tech-support,Other-relative,Black,Male,28145,4129,11,Germany,<=50K
23,Federal-gov,1205095,Assoc-voc,16,Never-married,Craft-repair,Other-relative,White,Female,10707,2505,7,South,>50K
68,State-gov,1396336,Masters,9,Divorced,Machine-op-inspct,Own-child,Black,Female,90517,2229,58,El-Salvador,<=50K
31,State-gov,457584,Prof-school,8,Divorced,Machine-op-inspct,Not-in-family,Black,Male,64636,1971,59,Haiti,>50K
23,State-gov,81969,Assoc-acdm,6,Married-spouse-absent,Tech-support,Husband,Black,Male,6667,837,7,Hungary,>50K
55,State-gov,1136443,7th-8th,12,Married-AF-spouse,Other-service,Other-relative,White,Male,73851,1073,24,Vietnam,<=50K
89,Without-pay,974298,1st-4th,9,Widowed,Sales,Wife,Asian-Pac-Islander,Female,95900,974,20,Haiti,<=50K
71,Federal-gov,1486693,5th-6th,11,Married-spouse-absent,Tech-support,Other-relative,White,Male,58533,2870,86,El-Salvador,>50K
73,Self-emp-inc,995589,Doctorate,15,Married-civ-spouse,Armed-Forces,Wife,White,Male,84425,1489,10,Mexico,<=50K
70,Local-gov,1386655,Prof-school,12,Divorced,Priv-house-serv,Husband,Other,Male,66738,1408,86,Vietnam,<=50K
75,Self-emp-inc,242912,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,79494,2477,65,Cuba,>50K
54,Private,255977,Preschool,3,Separated,Handlers-cleaners,Unmarried,Other,Male,5182,2413,78,Cuba,<=50K
26,Self-emp-inc,995574,Preschool,3,Divorced,Prof-specialty,Own-child,Black,Female,83424,2313,22,Laos,>50K
